HV group: 92 UTaX_CT_HV18 SenID(s)=  127 -1 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaU_1CT_S2 
HV group: 93 UTaX_CB_HV18 SenID(s)=  133 -1 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaU_2CT_M1 
HV group: 94 UTaX_CB_HV16 SenID(s)=  141 -1 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaU_2CT_S1 
HV group: 95 UTaX_CB_HV13 SenID(s)=  147 -1 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaU_3CT_M1 
HV group: 96 UTaX_CB_HV8 SenID(s)=  161 175 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaU_4CT_M1 UTaU_5CT_M1 
HV group: 97 UTaX_CT_HV12 SenID(s)=  189 203 217 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaU_6CT_M1 UTaU_7CT_M1 UTaU_8CT_M1 
HV group: 98 UTaX_CT_HV13 SenID(s)=  119 134 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaU_1CT_M2 UTaU_2CT_M2 
HV group: 99 UTaX_CT_HV16 SenID(s)=  155 -1 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaU_3CT_S1 
HV group: 100 UTaX_CB_HV18 SenID(s)=  148 162 169 170 183 -1 -1 -1 -1  SenName(s)=  UTaU_3CT_M2 UTaU_4CT_M2 UTaU_4CT_S1 UTaU_4CT_S2 UTaU_5CT_S1 
HV group: 101 UTaX_CB_HV16 SenID(s)=  176 190 197 211 -1 -1 -1 -1 -1  SenName(s)=  UTaU_5CT_M2 UTaU_6CT_M2 UTaU_6CT_S1 UTaU_7CT_S1 
HV group: 102 UTaX_CB_HV13 SenID(s)=  204 212 218 225 -1 -1 -1 -1 -1  SenName(s)=  UTaU_7CT_M2 UTaU_7CT_S2 UTaU_8CT_M2 UTaU_8CT_S1 
HV group: 103 UTaX_CT_HV8 SenID(s)=  120 128 142 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaU_1CT_M3 UTaU_1CT_S3 UTaU_2CT_S2 
HV group: 104 UTaX_CT_HV13 SenID(s)=  135 149 156 163 171 184 -1 -1 -1  SenName(s)=  UTaU_2CT_M3 UTaU_3CT_M3 UTaU_3CT_S2 UTaU_4CT_M3 UTaU_4CT_S3 UTaU_5CT_S2 
HV group: 105 UTaX_CT_HV16 SenID(s)=  177 191 198 205 213 219 226 -1 -1  SenName(s)=  UTaU_5CT_M3 UTaU_6CT_M3 UTaU_6CT_S2 UTaU_7CT_M3 UTaU_7CT_S3 UTaU_8CT_M3 UTaU_8CT_S2 
HV group: 106 UTaX_CT_HV18 SenID(s)=  121 129 136 143 150 157 164 -1 -1  SenName(s)=  UTaU_1CT_M4 UTaU_1CT_S4 UTaU_2CT_M4 UTaU_2CT_S3 UTaU_3CT_M4 UTaU_3CT_S3 UTaU_4CT_M4 
HV group: 107 UTaX_CB_HV18 SenID(s)=  178 185 192 199 206 220 227 -1 -1  SenName(s)=  UTaU_5CT_M4 UTaU_5CT_S3 UTaU_6CT_M4 UTaU_6CT_S3 UTaU_7CT_M4 UTaU_8CT_M4 UTaU_8CT_S3 
HV group: 108 UTaX_CB_HV16 SenID(s)=  117 -1 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaU_1CB_S1 
HV group: 109 UTaX_CB_HV13 SenID(s)=  125 -1 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaU_1CB_M1 
HV group: 110 UTaX_CB_HV8 SenID(s)=  116 -1 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaU_1CB_S2 
HV group: 111 UTaX_CT_HV13 SenID(s)=  140 -1 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaU_2CB_M1 
HV group: 112 UTaX_CT_HV16 SenID(s)=  132 -1 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaU_2CB_S1 
HV group: 113 UTaX_CT_HV18 SenID(s)=  154 -1 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaU_3CB_M1 
HV group: 114 UTaU_CB_HV17 SenID(s)=  168 182 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaU_4CB_M1 UTaU_5CB_M1 
HV group: 115 UTaU_CB_HV14 SenID(s)=  196 210 224 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaU_6CB_M1 UTaU_7CB_M1 UTaU_8CB_M1 
HV group: 116 UTaU_CB_HV3 SenID(s)=  124 139 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaU_1CB_M2 UTaU_2CB_M2 
HV group: 117 UTaU_CB_HV1 SenID(s)=  146 -1 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaU_3CB_S1 
HV group: 118 UTaU_CT_HV2 SenID(s)=  153 159 160 167 174 -1 -1 -1 -1  SenName(s)=  UTaU_3CB_M2 UTaU_4CB_S2 UTaU_4CB_S1 UTaU_4CB_M2 UTaU_5CB_S1 
HV group: 119 UTaU_CT_HV9 SenID(s)=  181 188 195 202 -1 -1 -1 -1 -1  SenName(s)=  UTaU_5CB_M2 UTaU_6CB_S1 UTaU_6CB_M2 UTaU_7CB_S1 
HV group: 120 UTaU_CT_HV14 SenID(s)=  201 209 216 223 -1 -1 -1 -1 -1  SenName(s)=  UTaU_7CB_S2 UTaU_7CB_M2 UTaU_8CB_S1 UTaU_8CB_M2 
HV group: 121 UTaU_CT_HV17 SenID(s)=  115 123 131 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaU_1CB_S3 UTaU_1CB_M3 UTaU_2CB_S2 
HV group: 122 UTaU_CB_HV17 SenID(s)=  138 145 152 158 166 173 -1 -1 -1  SenName(s)=  UTaU_2CB_M3 UTaU_3CB_S2 UTaU_3CB_M3 UTaU_4CB_S3 UTaU_4CB_M3 UTaU_5CB_S2 
HV group: 123 UTaU_CB_HV14 SenID(s)=  180 187 194 200 208 215 222 -1 -1  SenName(s)=  UTaU_5CB_M3 UTaU_6CB_S2 UTaU_6CB_M3 UTaU_7CB_S3 UTaU_7CB_M3 UTaU_8CB_S2 UTaU_8CB_M3 
HV group: 124 UTaU_CB_HV9 SenID(s)=  114 122 130 137 144 151 165 -1 -1  SenName(s)=  UTaU_1CB_S4 UTaU_1CB_M4 UTaU_2CB_S3 UTaU_2CB_M4 UTaU_3CB_S3 UTaU_3CB_M4 UTaU_4CB_M4 
HV group: 125 UTaU_CB_HV2 SenID(s)=  172 179 186 193 207 214 221 -1 -1  SenName(s)=  UTaU_5CB_S3 UTaU_5CB_M4 UTaU_6CB_S3 UTaU_6CB_M4 UTaU_7CB_M4 UTaU_8CB_S3 UTaU_8CB_M4 
HV group: 126 UTaU_CT_HV1 SenID(s)=  601 -1 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaU_1AB_S1 
HV group: 127 UTaU_CT_HV3 SenID(s)=  609 -1 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaU_1AB_M1 
HV group: 128 UTaU_CT_HV14 SenID(s)=  600 -1 -1 -1 -1 -1 -1 -1 -1  SenName(s)=  UTaU_1AB_S2 
